symbol_name,security_id,trading_symbol
SBIAMC - SFMP6DD,10051,SFMP6DD
SBIAMC - SFMP6DR,10052,SFMP6DR
SBIAMC - SFMP6GD,10055,SFMP6GD
SBIAMC - SFMP6GR,10060,SFMP6GR
HDFCAMC - H1158D46DD,10499,H1158D46DD
HDFCAMC - H1158D46DG,10500,H1158D46DG
HDFCAMC - H1158D46DQ,10501,H1158D46DQ
HDFCAMC - H1158D46RD,10503,H1158D46RD
HDFCAMC - H1158D46RG,10505,H1158D46RG
HDFCAMC - H1158D46RQ,10507,H1158D46RQ
HDFCAMC - HDFC1406DD,10838,HDFC1406DD
HDFCAMC - HDFC1406DG,10839,HDFC1406DG
HDFCAMC - HDFC1406DQ,10840,HDFC1406DQ
HDFCAMC - HDFC1406RD,10841,HDFC1406RD
HDFCAMC - HDFC1406RG,10842,HDFC1406RG
HDFCAMC - HDFC1406RQ,10843,HDFC1406RQ
SBIAMC - SFMP64DD,10879,SFMP64DD
SBIAMC - SFMP64DR,10880,SFMP64DR
SBIAMC - SFMP64GD,10881,SFMP64GD
SBIAMC - SFMP64GR,10882,SFMP64GR
HDFCAMC - HDFC1359DD,11559,HDFC1359DD
HDFCAMC - HDFC1359DG,11560,HDFC1359DG
HDFCAMC - HDFC1359DQ,11561,HDFC1359DQ
HDFCAMC - HDFC1359RD,11562,HDFC1359RD
HDFCAMC - HDFC1359RG,11563,HDFC1359RG
HDFCAMC - HDFC1359RQ,11565,HDFC1359RQ
UTIAMC - UTIDAP35P1,12039,UTIDAP35P1
UTIAMC - UTIDGR35P1,12040,UTIDGR35P1
UTIAMC - UTIDMP35P1,12041,UTIDMP35P1
UTIAMC - UTIDQP35P1,12046,UTIDQP35P1
UTIAMC - UTIRAP35P1,12048,UTIRAP35P1
UTIAMC - UTIRFP35P1,12057,UTIRFP35P1
UTIAMC - UTIRGR35P1,12060,UTIRGR35P1
UTIAMC - UTIRMP35P1,12064,UTIRMP35P1
UTIAMC - UTIRQP35P1,12071,UTIRQP35P1
SBIAMC - SFMP72DD,12545,SFMP72DD
SBIAMC - SFMP72DR,12556,SFMP72DR
SBIAMC - SFMP72GD,12561,SFMP72GD
SBIAMC - SFMP72GR,12563,SFMP72GR
SBIAMC - SFMP73DD,13102,SFMP73DD
SBIAMC - SFMP73DR,13103,SFMP73DR
SBIAMC - SFMP73GD,13107,SFMP73GD
SBIAMC - SFMP73GR,13108,SFMP73GR
UTIAMC - UTIDAP35P2,13150,UTIDAP35P2
UTIAMC - UTIDFP35P2,13152,UTIDFP35P2
UTIAMC - UTIDGR35P2,13153,UTIDGR35P2
UTIAMC - UTIDMP35P2,13154,UTIDMP35P2
UTIAMC - UTIDQP35P2,13155,UTIDQP35P2
UTIAMC - UTIRAP35P2,13156,UTIRAP35P2
UTIAMC - UTIRFP35P2,13158,UTIRFP35P2
UTIAMC - UTIRGR35P2,13160,UTIRGR35P2
UTIAMC - UTIRMP35P2,13163,UTIRMP35P2
UTIAMC - UTIRQP35P2,13164,UTIRQP35P2
BIRLASLAMC - ABSLFTUBDG,13228,ABSLFTUBDG
BIRLASLAMC - ABSLFTUBRG,13234,ABSLFTUBRG
BIRLASLAMC - ABSLFTUBRN,13235,ABSLFTUBRN
HDFCAMC - HDFC1204DD,13539,HDFC1204DD
HDFCAMC - HDFC1204DG,13540,HDFC1204DG
HDFCAMC - HDFC1204DQ,13543,HDFC1204DQ
HDFCAMC - HDFC1204RD,13547,HDFC1204RD
HDFCAMC - HDFC1204RG,13548,HDFC1204RG
HDFCAMC - HDFC1204RQ,13556,HDFC1204RQ
SBIAMC - SFMP74DD,13665,SFMP74DD
SBIAMC - SFMP74DR,13670,SFMP74DR
SBIAMC - SFMP74GD,13672,SFMP74GD
SBIAMC - SFMP74GR,13674,SFMP74GR
UTIAMC - UTIDAP35P3,13937,UTIDAP35P3
UTIAMC - UTIDGR35P3,13939,UTIDGR35P3
UTIAMC - UTIDMP35P3,13942,UTIDMP35P3
UTIAMC - UTIDQP35P3,13943,UTIDQP35P3
UTIAMC - UTIRAP35P3,13946,UTIRAP35P3
UTIAMC - UTIRFP35P3,13947,UTIRFP35P3
UTIAMC - UTIRGR35P3,13948,UTIRGR35P3
UTIAMC - UTIRQP35P3,13949,UTIRQP35P3
HDFCAMC - HDFC2638RG,14327,HDFC2638RG
